"","","","",""
"","ID Cliente","Nombre","Teléfono","Correo Electrónico"
"","1","Juan Pérez","555-123-4567","juan@example.com"
"","2","María López","555-987-6543","maria@example.com"
"","3","Carlos García","555-321-7890","carlos@example.com"
"","4","Laura Martínez","555-456-7890","laura@example.com"
"","5","Alejandro Ruiz","555-876-5432","alejandro@example.com"
"","6","Ana González","555-234-5678","ana@example.com"
"","7","Javier Torres","555-654-3210","javier@example.com"
"","8","Marta Sánchez","555-789-0123","marta@example.com"
"","9","Pedro Díaz","555-543-2109","pedro@example.com"
"","10","Andrea Vázquez","555-890-1234","andrea@example.com"
"","11","Luisa Ramírez","555-432-1098","luisa@example.com"
"","12","David Fernández","555-678-9012","david@example.com"
"","13","Sofía Morales","555-210-9876","sofia@example.com"
"","14","Jorge Herrera","555-876-5432","jorge@example.com"
"","15","Natalia Castro","555-543-2109","natalia@example.com"
"","16","Roberto Núñez","555-109-8765","roberto@example.com"
"","17","Claudia Santos","555-321-0987","claudia@example.com"
"","18","Diego Rojas","555-765-4321","diego@example.com"
"","19","Valeria Gómez","555-432-1098","valeria@example.com"
"","20","Pablo Reyes","555-098-7654","pablo@example.com"
"","21","Gabriela Cruz","555-654-3210","gabriela@example.com"
"","22","Manuel Castro","555-210-9876","manuel@example.com"
"","23","Patricia Morales","555-890-1234","patricia@example.com"
"","24","Oscar Gutiérrez","555-567-8901","oscar@example.com"
"","25","Daniela Torres","555-432-1098","daniela@example.com"
"","26","Francisco López","555-789-0123","francisco@example.com"
"","27","Alejandra Ramírez","555-210-9876","alejandra@example.com"
"","28","Miguel González","555-654-3210","miguel@example.com"
"","29","Verónica Martínez","555-109-8765","veronica@example.com"
"","30","Sergio Díaz","555-876-5432","sergio@example.com"
"","31","Lucía Vázquez","555-321-0987","lucia@example.com"
"","32","Andrés Herrera","555-543-2109","andres@example.com"
"","33","Carolina Castro","555-789-0123","carolina@example.com"
"","34","Eduardo Rojas","555-654-3210","eduardo@example.com"
"","35","Vanessa Gómez","555-098-7654","vanessa@example.com"
"","36","Felipe Reyes","555-210-9876","felipe@example.com"
"","37","Laura Cruz","555-876-5432","laura@example.com"
"","38","José Sánchez","555-321-0987","jose@example.com"
"","39","Marina Núñez","555-543-2109","marina@example.com"
"","40","Paula Santos","555-789-0123","paula@example.com"
"","41","Federico Ramírez","555-654-3210","federico@example.com"
"","42","Natalia González","555-109-8765","natalia@example.com"
"","43","Daniel Martínez","555-321-0987","daniel@example.com"
"","44","Sandra López","555-543-2109","sandra@example.com"
"","45","Alberto Castro","555-789-0123","alberto@example.com"
"","46","Victoria Gómez","555-654-3210","victoria@example.com"
"","47","Raúl Sánchez","555-098-7654","raul@example.com"
"","48","Carla Núñez","555-210-9876","carla@example.com"
"","49","Gonzalo Torres","555-876-5432","gonzalo@example.com"
"","50","Sofía Ramírez","555-321-0987","sofia@example.com"
